Samplingpoint,Pollutant,Start,End,Value,Unit,AggType,Validity,Verification,ResultTime
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-01,2022-04-02,10.416666,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-02,2022-04-03,13.472222,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-03,2022-04-04,12.5,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-04,2022-04-05,16.944444,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-05,2022-04-06,10.833333,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-06,2022-04-07,6.527777,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-07,2022-04-08,6.111111,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-08,2022-04-09,6.527777,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-09,2022-04-10,7.361111,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-10,2022-04-11,10.138888,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-11,2022-04-12,11.111111,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-12,2022-04-13,14.027777,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-13,2022-04-14,23.055555,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-14,2022-04-15,23.194444,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-15,2022-04-16,10.833333,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-16,2022-04-17,7.5,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-17,2022-04-18,8.611111,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-18,2022-04-19,11.388888,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-19,2022-04-20,14.444444,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-20,2022-04-21,12.916666,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-21,2022-04-22,14.722222,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-22,2022-04-23,18.611111,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-23,2022-04-24,15.694444,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-24,2022-04-25,8.472222,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-25,2022-04-26,15.138888,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-26,2022-04-27,9.861111,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-27,2022-04-28,9.305555,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-28,2022-04-29,13.888888,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-29,2022-04-30,19.861111,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-30,2022-05-01,18.888888,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-01,2022-05-02,17.083333,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-02,2022-05-03,17.222222,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-03,2022-05-04,17.083333,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-04,2022-05-05,16.111111,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-05,2022-05-06,21.388888,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-06,2022-05-07,16.25,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-07,2022-05-08,17.222222,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-08,2022-05-09,17.5,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-09,2022-05-10,17.916666,ug.m-3,day,1,1,2023-06-27 14:13:59
