Samplingpoint,Pollutant,Start,End,Value,Unit,AggType,Validity,Verification,ResultTime,DataCapture,FkObservationLog
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-19,2022-04-20,14.444444000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-20,2022-04-21,12.916666000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-21,2022-04-22,14.722222000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-22,2022-04-23,18.611111000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-23,2022-04-24,15.694444000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-24,2022-04-25,8.472222000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-25,2022-04-26,15.138888000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-26,2022-04-27,9.861111000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-27,2022-04-28,9.305555000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-28,2022-04-29,13.888888000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-29,2022-04-30,19.861111000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-30,2022-05-01,18.888888000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-01,2022-05-02,17.083333000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-02,2022-05-03,17.222222000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-03,2022-05-04,17.083333000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-04,2022-05-05,16.111111000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-05,2022-05-06,21.388888000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-06,2022-05-07,16.250000000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-07,2022-05-08,17.222222000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-08,2022-05-09,17.500000000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-09,2022-05-10,17.916666000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-10,2022-05-11,21.527777000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-11,2022-05-12,18.472222000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
